Period,Hypothesis,Lag (minutes),Correlation
2025-10-30 19:32:00+00:00 to 2025-10-31 13:31:00+00:00,IWM follows SPY,-1,0.4985138679549703
2025-10-30 19:33:00+00:00 to 2025-10-31 13:32:00+00:00,IWM follows SPY,-1,0.5014766217124902
2025-10-30 19:34:00+00:00 to 2025-10-31 13:33:00+00:00,IWM follows SPY,-1,0.44435515645809626
2025-10-30 19:35:00+00:00 to 2025-10-31 13:34:00+00:00,IWM follows SPY,-1,0.4449678562147589
2025-10-30 19:36:00+00:00 to 2025-10-31 13:35:00+00:00,IWM follows SPY,-1,0.40671548276166913
2025-10-30 19:37:00+00:00 to 2025-10-31 13:36:00+00:00,IWM follows SPY,-3,0.40046119781533385
2025-10-30 19:38:00+00:00 to 2025-10-31 13:37:00+00:00,IWM follows SPY,-3,0.3877444870359622
2025-10-30 19:39:00+00:00 to 2025-10-31 13:38:00+00:00,IWM follows SPY,-3,0.3716807826397601
2025-10-30 19:40:00+00:00 to 2025-10-31 13:39:00+00:00,IWM follows SPY,-3,0.37051299747985145
2025-10-30 19:41:00+00:00 to 2025-10-31 13:40:00+00:00,IWM follows SPY,-3,0.35746104368979165
2025-10-30 19:42:00+00:00 to 2025-10-31 13:41:00+00:00,IWM follows SPY,-3,0.3598364323520955
2025-10-30 19:43:00+00:00 to 2025-10-31 13:42:00+00:00,IWM follows SPY,-3,0.3612460013295761
2025-10-30 19:44:00+00:00 to 2025-10-31 13:43:00+00:00,IWM follows SPY,-3,0.33876993285445156
2025-10-30 19:45:00+00:00 to 2025-10-31 13:44:00+00:00,IWM follows SPY,-3,0.3486102367367069
2025-10-30 19:46:00+00:00 to 2025-10-31 13:45:00+00:00,IWM follows SPY,-3,0.3516358317089686
2025-10-30 19:47:00+00:00 to 2025-10-31 13:46:00+00:00,IWM follows SPY,-3,0.3403500899580869
2025-10-30 19:48:00+00:00 to 2025-10-31 13:47:00+00:00,IWM follows SPY,-3,0.3337185654770209
2025-10-30 19:49:00+00:00 to 2025-10-31 13:48:00+00:00,IWM follows SPY,-3,0.3360567414352836
2025-10-30 19:50:00+00:00 to 2025-10-31 13:49:00+00:00,IWM follows SPY,-3,0.335225703980368
2025-10-30 19:51:00+00:00 to 2025-10-31 13:50:00+00:00,IWM follows SPY,-3,0.3396955678632635
2025-10-30 19:52:00+00:00 to 2025-10-31 13:51:00+00:00,IWM follows SPY,-3,0.334731143356627
2025-10-30 19:53:00+00:00 to 2025-10-31 13:52:00+00:00,IWM follows SPY,-3,0.3331751081805285
2025-10-30 19:54:00+00:00 to 2025-10-31 13:53:00+00:00,IWM follows SPY,-3,0.32288620457900136
2025-10-30 19:55:00+00:00 to 2025-10-31 13:54:00+00:00,IWM follows SPY,-3,0.32274314202210586
2025-10-30 19:56:00+00:00 to 2025-10-31 13:55:00+00:00,IWM follows SPY,4,0.3848865058428916
2025-10-30 19:57:00+00:00 to 2025-10-31 13:56:00+00:00,IWM follows SPY,4,0.384476514979726
2025-10-30 19:58:00+00:00 to 2025-10-31 13:57:00+00:00,IWM follows SPY,-3,0.3946790813401123
2025-10-30 19:59:00+00:00 to 2025-10-31 13:58:00+00:00,IWM follows SPY,-3,0.4084277480051535
2025-10-31 13:30:00+00:00 to 2025-10-31 13:59:00+00:00,IWM follows SPY,4,0.3716805484500844
2025-10-31 19:31:00+00:00 to 2025-11-03 14:30:00+00:00,IWM follows SPY,-3,0.2779409918562296
2025-10-31 19:32:00+00:00 to 2025-11-03 14:31:00+00:00,IWM follows SPY,-3,0.2595030751599349
2025-10-31 19:33:00+00:00 to 2025-11-03 14:32:00+00:00,IWM follows SPY,-3,0.26798844908426483
2025-10-31 19:34:00+00:00 to 2025-11-03 14:33:00+00:00,IWM follows SPY,-4,0.11839831200919863
2025-10-31 19:35:00+00:00 to 2025-11-03 14:34:00+00:00,IWM follows SPY,-5,0.10924947092727194
2025-10-31 19:36:00+00:00 to 2025-11-03 14:35:00+00:00,IWM follows SPY,4,0.10278042113559178
2025-10-31 19:37:00+00:00 to 2025-11-03 14:36:00+00:00,IWM follows SPY,4,0.10022902002412841
2025-10-31 19:38:00+00:00 to 2025-11-03 14:37:00+00:00,IWM follows SPY,4,0.12384396461004331
2025-10-31 19:39:00+00:00 to 2025-11-03 14:38:00+00:00,IWM follows SPY,4,0.12484369562886478
2025-10-31 19:40:00+00:00 to 2025-11-03 14:39:00+00:00,IWM follows SPY,4,0.1277136675614485
2025-10-31 19:41:00+00:00 to 2025-11-03 14:40:00+00:00,IWM follows SPY,4,0.13609648345492348
2025-10-31 19:42:00+00:00 to 2025-11-03 14:41:00+00:00,IWM follows SPY,4,0.13519618322779578
2025-10-31 19:43:00+00:00 to 2025-11-03 14:42:00+00:00,IWM follows SPY,4,0.11897274751654367
2025-10-31 19:44:00+00:00 to 2025-11-03 14:43:00+00:00,IWM follows SPY,4,0.11342641247367752
2025-10-31 19:45:00+00:00 to 2025-11-03 14:44:00+00:00,IWM follows SPY,4,0.11771910112330705
2025-10-31 19:46:00+00:00 to 2025-11-03 14:45:00+00:00,IWM follows SPY,2,0.11758978902095453
2025-10-31 19:47:00+00:00 to 2025-11-03 14:46:00+00:00,IWM follows SPY,2,0.11575106108593983
2025-10-31 19:48:00+00:00 to 2025-11-03 14:47:00+00:00,IWM follows SPY,2,0.1277631493571841
2025-10-31 19:49:00+00:00 to 2025-11-03 14:48:00+00:00,IWM follows SPY,2,0.12955052267695447
2025-10-31 19:50:00+00:00 to 2025-11-03 14:49:00+00:00,IWM follows SPY,4,0.1445131746214533
2025-10-31 19:51:00+00:00 to 2025-11-03 14:50:00+00:00,IWM follows SPY,4,0.1290532050145771
2025-10-31 19:52:00+00:00 to 2025-11-03 14:51:00+00:00,IWM follows SPY,4,0.1293249485999472
2025-10-31 19:53:00+00:00 to 2025-11-03 14:52:00+00:00,IWM follows SPY,2,0.12183691418915697
2025-10-31 19:54:00+00:00 to 2025-11-03 14:53:00+00:00,IWM follows SPY,2,0.11374520352534308
2025-10-31 19:55:00+00:00 to 2025-11-03 14:54:00+00:00,IWM follows SPY,4,0.11847178910508828
2025-10-31 19:56:00+00:00 to 2025-11-03 14:55:00+00:00,IWM follows SPY,4,0.2233254253523681
2025-10-31 19:57:00+00:00 to 2025-11-03 14:56:00+00:00,IWM follows SPY,5,0.15136735380649097
2025-10-31 19:58:00+00:00 to 2025-11-03 14:57:00+00:00,IWM follows SPY,2,0.24363166263877264
2025-10-31 19:59:00+00:00 to 2025-11-03 14:58:00+00:00,IWM follows SPY,2,0.2619510974423419
2025-11-03 17:30:00+00:00 to 2025-11-03 17:59:00+00:00,IWM follows SPY,-4,0.4415218634416549
2025-11-03 17:31:00+00:00 to 2025-11-03 18:00:00+00:00,IWM follows SPY,-4,0.46086547421464347
2025-11-03 17:36:00+00:00 to 2025-11-03 18:05:00+00:00,IWM follows SPY,-3,0.28680522672770364
2025-11-04 14:50:00+00:00 to 2025-11-04 15:19:00+00:00,IWM follows SPY,3,0.48010975495625163
2025-11-04 14:51:00+00:00 to 2025-11-04 15:20:00+00:00,IWM follows SPY,3,0.5377082494054224
2025-11-04 14:52:00+00:00 to 2025-11-04 15:21:00+00:00,IWM follows SPY,3,0.5190329009145006
2025-11-04 14:53:00+00:00 to 2025-11-04 15:22:00+00:00,IWM follows SPY,3,0.521328189657667
2025-11-04 14:54:00+00:00 to 2025-11-04 15:23:00+00:00,IWM follows SPY,3,0.568364640683435
2025-11-04 14:55:00+00:00 to 2025-11-04 15:24:00+00:00,IWM follows SPY,3,0.5580967690222184
2025-11-04 14:56:00+00:00 to 2025-11-04 15:25:00+00:00,IWM follows SPY,3,0.5825473996286041
2025-11-04 14:57:00+00:00 to 2025-11-04 15:26:00+00:00,IWM follows SPY,3,0.5759097635342842
2025-11-04 14:58:00+00:00 to 2025-11-04 15:27:00+00:00,IWM follows SPY,3,0.5843484831650556
2025-11-04 14:59:00+00:00 to 2025-11-04 15:28:00+00:00,IWM follows SPY,3,0.5905085758845312
2025-11-04 15:00:00+00:00 to 2025-11-04 15:29:00+00:00,IWM follows SPY,3,0.6563272065143791
2025-11-04 15:01:00+00:00 to 2025-11-04 15:30:00+00:00,IWM follows SPY,3,0.7316566362983411
2025-11-04 15:02:00+00:00 to 2025-11-04 15:31:00+00:00,IWM follows SPY,3,0.7305822485470698
2025-11-04 15:03:00+00:00 to 2025-11-04 15:32:00+00:00,IWM follows SPY,3,0.7366366686014055
2025-11-04 15:04:00+00:00 to 2025-11-04 15:33:00+00:00,IWM follows SPY,3,0.7192362739641476
2025-11-04 20:31:00+00:00 to 2025-11-05 14:30:00+00:00,IWM follows SPY,-1,0.2558135546541773
2025-11-04 20:32:00+00:00 to 2025-11-05 14:31:00+00:00,IWM follows SPY,-1,0.28879777270445467
2025-11-04 20:33:00+00:00 to 2025-11-05 14:32:00+00:00,IWM follows SPY,-1,0.26371006269253444
2025-11-04 20:34:00+00:00 to 2025-11-05 14:33:00+00:00,IWM follows SPY,2,0.2980460941577507
2025-11-04 20:36:00+00:00 to 2025-11-05 14:35:00+00:00,IWM follows SPY,-3,0.3254989290605006
2025-11-04 20:37:00+00:00 to 2025-11-05 14:36:00+00:00,IWM follows SPY,-3,0.33400007794566716
2025-11-05 14:44:00+00:00 to 2025-11-05 15:13:00+00:00,IWM follows SPY,1,0.6178325508368182
2025-11-05 16:37:00+00:00 to 2025-11-05 17:06:00+00:00,IWM follows SPY,4,0.6698617406566232
2025-11-05 16:38:00+00:00 to 2025-11-05 17:07:00+00:00,IWM follows SPY,4,0.6863226320190181
2025-11-05 16:39:00+00:00 to 2025-11-05 17:08:00+00:00,IWM follows SPY,4,0.7105260194448798
2025-11-05 16:40:00+00:00 to 2025-11-05 17:09:00+00:00,IWM follows SPY,4,0.7107899878651105
2025-11-05 16:41:00+00:00 to 2025-11-05 17:10:00+00:00,IWM follows SPY,4,0.7475267322470269
2025-11-05 16:42:00+00:00 to 2025-11-05 17:11:00+00:00,IWM follows SPY,4,0.5998620290311296
2025-11-05 16:43:00+00:00 to 2025-11-05 17:12:00+00:00,IWM follows SPY,4,0.6083718099941222
2025-11-05 16:44:00+00:00 to 2025-11-05 17:13:00+00:00,IWM follows SPY,4,0.6016612623514977
2025-11-05 16:45:00+00:00 to 2025-11-05 17:14:00+00:00,IWM follows SPY,4,0.6060104796160101
2025-11-05 16:46:00+00:00 to 2025-11-05 17:15:00+00:00,IWM follows SPY,4,0.5823891599347704
2025-11-05 16:47:00+00:00 to 2025-11-05 17:16:00+00:00,IWM follows SPY,4,0.5932323380129423
2025-11-05 16:48:00+00:00 to 2025-11-05 17:17:00+00:00,IWM follows SPY,4,0.6557066758566252
2025-11-05 16:49:00+00:00 to 2025-11-05 17:18:00+00:00,IWM follows SPY,4,0.5521874400236351
2025-11-05 16:50:00+00:00 to 2025-11-05 17:19:00+00:00,IWM follows SPY,4,0.5713895551495829
2025-11-05 16:51:00+00:00 to 2025-11-05 17:20:00+00:00,IWM follows SPY,4,0.48828779520881277
2025-11-05 16:52:00+00:00 to 2025-11-05 17:21:00+00:00,IWM follows SPY,4,0.48751091927944745
2025-11-05 16:53:00+00:00 to 2025-11-05 17:22:00+00:00,IWM follows SPY,4,0.49351388300853194
2025-11-05 16:54:00+00:00 to 2025-11-05 17:23:00+00:00,IWM follows SPY,4,0.4692188229403726
2025-11-05 16:55:00+00:00 to 2025-11-05 17:24:00+00:00,IWM follows SPY,4,0.4218591076827023
2025-11-05 16:56:00+00:00 to 2025-11-05 17:25:00+00:00,IWM follows SPY,4,0.4311220502748904
2025-11-05 16:57:00+00:00 to 2025-11-05 17:26:00+00:00,IWM follows SPY,4,0.42630301711397045
2025-11-05 16:58:00+00:00 to 2025-11-05 17:27:00+00:00,IWM follows SPY,4,0.4248195545756916
2025-11-05 16:59:00+00:00 to 2025-11-05 17:28:00+00:00,IWM follows SPY,4,0.39660787779350787
2025-11-05 17:00:00+00:00 to 2025-11-05 17:29:00+00:00,IWM follows SPY,4,0.3193890466279937
2025-11-05 17:01:00+00:00 to 2025-11-05 17:30:00+00:00,IWM follows SPY,3,0.29814081784906177
2025-11-05 17:03:00+00:00 to 2025-11-05 17:32:00+00:00,IWM follows SPY,3,0.27641124326925487
2025-11-05 17:07:00+00:00 to 2025-11-05 17:36:00+00:00,IWM follows SPY,-4,0.28778348732512415
2025-11-05 18:42:00+00:00 to 2025-11-05 19:11:00+00:00,IWM follows SPY,-1,0.4517193445590348
2025-11-05 18:43:00+00:00 to 2025-11-05 19:12:00+00:00,IWM follows SPY,-1,0.4504159135705697
2025-11-05 18:44:00+00:00 to 2025-11-05 19:13:00+00:00,IWM follows SPY,-1,0.45207733195170313
2025-11-05 18:46:00+00:00 to 2025-11-05 19:15:00+00:00,IWM follows SPY,-1,0.4950084664556518
2025-11-10 20:33:00+00:00 to 2025-11-11 14:32:00+00:00,IWM follows SPY,-2,0.533892284130883
2025-11-10 20:34:00+00:00 to 2025-11-11 14:33:00+00:00,IWM follows SPY,-2,0.5416791552303881
2025-11-10 20:35:00+00:00 to 2025-11-11 14:34:00+00:00,IWM follows SPY,-2,0.5270658865358588
2025-11-10 20:36:00+00:00 to 2025-11-11 14:35:00+00:00,IWM follows SPY,-2,0.548900603489015
2025-11-10 20:37:00+00:00 to 2025-11-11 14:36:00+00:00,IWM follows SPY,-2,0.5533048919594709
2025-11-10 20:38:00+00:00 to 2025-11-11 14:37:00+00:00,IWM follows SPY,-2,0.5376782323718192
2025-11-10 20:39:00+00:00 to 2025-11-11 14:38:00+00:00,IWM follows SPY,-2,0.5428682075061502
2025-11-10 20:40:00+00:00 to 2025-11-11 14:39:00+00:00,IWM follows SPY,-2,0.5700655136895701
2025-11-10 20:41:00+00:00 to 2025-11-11 14:40:00+00:00,IWM follows SPY,-2,0.5136224443888192
2025-11-10 20:42:00+00:00 to 2025-11-11 14:41:00+00:00,IWM follows SPY,-2,0.5064551803253795
2025-11-10 20:43:00+00:00 to 2025-11-11 14:42:00+00:00,IWM follows SPY,-2,0.5074480121978586
2025-11-10 20:44:00+00:00 to 2025-11-11 14:43:00+00:00,IWM follows SPY,-2,0.4924881875488478
2025-11-10 20:45:00+00:00 to 2025-11-11 14:44:00+00:00,IWM follows SPY,-2,0.47351503478725754
2025-11-10 20:46:00+00:00 to 2025-11-11 14:45:00+00:00,IWM follows SPY,-2,0.4437735173147285
2025-11-10 20:47:00+00:00 to 2025-11-11 14:46:00+00:00,IWM follows SPY,-2,0.4561464093682226
2025-11-10 20:48:00+00:00 to 2025-11-11 14:47:00+00:00,IWM follows SPY,-2,0.4924811275538108
2025-11-10 20:49:00+00:00 to 2025-11-11 14:48:00+00:00,IWM follows SPY,-2,0.5036159671953857
2025-11-10 20:50:00+00:00 to 2025-11-11 14:49:00+00:00,IWM follows SPY,-2,0.5076920085138646
2025-11-10 20:51:00+00:00 to 2025-11-11 14:50:00+00:00,IWM follows SPY,-2,0.5107517360846663
2025-11-10 20:52:00+00:00 to 2025-11-11 14:51:00+00:00,IWM follows SPY,-2,0.4758856722367998
2025-11-10 20:53:00+00:00 to 2025-11-11 14:52:00+00:00,IWM follows SPY,-2,0.49202854699248366
2025-11-10 20:54:00+00:00 to 2025-11-11 14:53:00+00:00,IWM follows SPY,-2,0.5014830240134133
2025-11-10 20:55:00+00:00 to 2025-11-11 14:54:00+00:00,IWM follows SPY,-2,0.5315801424273656
2025-11-10 20:56:00+00:00 to 2025-11-11 14:55:00+00:00,IWM follows SPY,-2,0.528902481147064
2025-11-12 14:37:00+00:00 to 2025-11-12 15:06:00+00:00,IWM follows SPY,-3,0.4531351558547172
